,Groups,Urocanic acid,Uridine,Uric acid,Tyrosine,Tryptophan,Trigonelline,Indoleacrylic acid,Threonine,Threonic acid,Taurine,Stachydrine,Serine,Ribose,Quinic acid,Pseudouridine,Proline,Pipecolic acid,Phenylalanine,Phenylacetylglycine,Ornithine,Nicotinamide 1-oxide,Nicotinamide,"N6,N6,N6-Trimethyl-L-lysine",Asymmetric dimethylarginine,Isovalerylglycine,N-Acetylornithine,N-Acetylneuraminic acid,N-Acetyl-L-aspartic acid,1-Methylhistidine,Leucine,Lactic Acid,Isoleucine,Hydroxycinnamic acid,Hydrocinnamic acid,Histidine,Hippuric acid,Iditol,Guanidinosuccinic acid,Glyceric acid,Glutamine,Glutamic acid,Glucose,Gluconic acid,Ethyl glucuronide,Ergothioneine,Cytidine,Creatinine,Creatine,Citramalic acid,Choline,Carnitine,Betaine,Beta-D-Glucopyranuronic acid,Beta alanine,Asparagine,Ascorbic acid,Arginine,Anserine,alpha-Glycerylphosphorylcholine,Alanine,Adenosine 5'-monophosphate,Acrylic acid,Acetyl-β-methylcholine,4-Oxoproline,4-Hydroxybenzaldehyde,4-Guanidinobutyric acid,3-Methylhistidine,3-Indoxyl sulphate,3-Hydroxybutyric acid,2-Naphthalenesulfonic acid,"1,5-Anhydro-D-glucitol"
1062_10_FBG,43717.5,7224465.420000008,15226545.930000005,250687470.6000001,5657809.608000006,4669495.6669999845,3490759.108000002,4612582.408000011,2557251.2200000053,1493988.261000001,7746919.560999998,22230226.750000034,9924075.101000005,1089088.6549999998,1041300.9409999999,808383.9353999996,7754199.4889999945,10727662.340000005,8384954.594999999,1711398.750999999,8288280.304000019,2338902.175000002,2190171.918,1133321.6170000012,2303131.734000002,899968.9116000007,412023.227800001,2212492.6170000006,2216184.8800000004,265550.7383000001,7101937.339000004,73636918.17000009,4340681.498999997,997383.5937,3308675.0260000066,12043092.340000007,777399.0664000006,544033.8071999999,485268.4285999992,5543271.793999993,181541397.2999999,1613639.063999999,21057445.390000015,1197916.0220000006,333705.2732000002,930181.2625999998,2439757.041999998,13999839.539999954,79590345.60000007,5505922.21699999,18164511.17,15669599.190000001,145244242.2,5505922.21699999,1269260.6359999992,3022023.0930000027,3445022.853999992,12933228.569999998,756446.5588999994,17035752.759999998,15444502.459999982,388393.82050000015,8039895.4720000075,3542053.0400000024,10379187.38,399061.4480000004,352414.26820000034,1882427.4969999997,5082813.006000004,34357537.030000016,2600697.9060000028,1052405.5689999962
1074_8_FBG,35250.0,12157637.19,21236048.400000043,14423618.299999997,9970584.54500001,7633303.0060000215,8816266.21100001,9360762.359999975,6681894.900000016,3393598.4120000033,14638016.369999984,22773179.839999966,19350527.990000006,2191425.566999998,4009025.652000003,1240076.881999999,15481085.880000016,13850220.389999999,19871999.979999997,592303.4140999984,17371965.620000042,3390390.0110000116,3176877.5810000026,1149475.021000001,1453278.0650000016,1852474.410000001,1438609.4410000006,2983495.9729999895,3459835.0420000087,1770685.497999994,15753708.629999992,236506672.59999987,10436586.479999995,2178591.3529999997,26206768.790000062,18734489.660000045,2163394.8450000067,855108.1855999997,3568382.1459999993,13253252.810000049,312748183.80000025,4254780.247999998,56742196.41999999,1923846.9089999995,2293729.9569999976,295611.1369999999,12897362.389999995,19099783.59000002,85163498.59999993,1708057.0669999986,48686225.44000006,48549406.24999995,194094676.40000007,1708057.0669999986,4640808.196999999,5439408.097000011,4021263.491999997,4197600.9610000085,1104770.2200000002,105185002.59999996,25257082.3,1722613.334999998,20246306.259999998,3526424.4759999965,16923089.18000005,699798.1382999977,1201913.9699999988,1422383.805000001,3650731.692000002,28774390.470000003,2182139.5369999977,457568.4300000001
1074_9_FBG,35250.0,5623944.114000004,25394948.690000076,28326208.110000003,9720274.54099998,8774590.399000002,3175555.2199999993,9017120.448000008,4682308.137000002,3831078.045999998,16393750.919999972,14633479.919999996,13969154.899999987,1153479.1160000006,1115640.4399999995,1628005.6290000018,13210014.24000004,14733166.339999963,16172652.059999984,1151768.6999999974,10001740.999999994,3235826.1770000006,4356110.537999997,1281843.1929999986,2201793.104999995,1610183.961,776620.1827,3840744.4910000023,3467577.717999999,2462266.2859999975,19431093.16000002,165039770.29999995,7998872.131999981,2150194.527000001,5909398.333999982,30396784.750000007,374774.4011,347292.43680000096,2451456.6960000023,11238255.079999963,289405888.60000014,3929641.703000001,24493403.499999993,2758506.0800000015,753825.2447999981,428403.33079999994,5315044.095999989,19183985.3,107365134.2999999,2087320.3340000026,28816844.74999997,27211193.36999997,196587514.10000068,2087320.3340000026,3658912.5799999996,4744742.080999997,5467936.379000002,2009210.1160000018,1828951.015999997,39013770.42,21144906.079999987,996736.7577000017,8655364.866999993,4729864.205000006,11271335.830000026,696405.4604999999,509565.4572999991,1699076.793000002,1848567.5839999989,61068079.940000035,1211383.1069999984,709485.2100999977
1074_10_FBG,35250.0,7321640.451000012,22538065.970000077,236417634.49999925,8490929.902000006,6398041.8180000065,4126451.728000004,6680655.881999993,3519611.629000002,2688506.2489999975,7462443.537000003,22322106.829999976,12382266.280000014,987827.9580000003,1073007.4279999994,1727068.3960000004,11455083.969999993,11578754.299999965,13624414.180000013,796567.9349999999,9680890.279999996,3464420.579000003,2740246.1520000086,1125002.8140000007,2256427.650000002,1674332.1259999995,786315.4132000005,3303524.084999997,1412438.0640000002,2440945.0599999996,8821264.205000026,135565840.50000018,7564100.809999995,1808088.9199999983,4606661.878000004,26868664.340000033,624992.4631999996,537855.781299999,2476084.0479999986,11920460.300000042,292516122.1000002,2253076.7589999977,27745371.91000003,1780765.9550000043,77247.02345000005,985209.6593000009,4321950.362000003,20489762.279999956,91115860.31999996,4627316.477999995,26232612.57999998,24710112.51,202240776.00000018,4627316.477999995,3150311.4430000074,3545092.503000002,4650074.637000016,10778687.439999975,1239497.7410000023,32190407.29999997,17791839.910000004,489944.8440999994,9986776.782000005,5146109.449000009,12848417.879999997,583117.3269999988,391028.50260000123,1548895.2570000016,2727477.685000002,100857474.09999995,643925.7324000016,575450.1473000015
1092_8_FBG,34022.5,11713691.26,27234630.500000056,46335121.74999999,6904330.433000001,4341396.357000003,5634376.922000004,4232488.977000001,4088105.1630000127,2117111.0239999974,7623476.687000011,28625459.140000015,11048101.01000001,1420173.0450000016,795933.2947000024,1399633.4609999992,11725009.809999997,19869847.68999997,8956673.982000005,602158.5676999999,7888028.233000008,4945246.158999997,4895286.273000005,1222482.3809999991,2663247.151999998,1068341.722999999,587543.2805,2142410.6730000065,2408311.4709999934,1114903.5289999961,8023525.419000008,68445376.87000002,5095761.476,1151539.1960000012,2102405.4870000044,31748212.089999937,224859.1707999998,481395.55919999967,629590.9878,7155230.202999993,267516501.19999996,2453429.660999994,23724288.219999973,1202377.504,615845.763099999,453035.38919999974,3947063.66100001,18756793.909999993,73105778.05999976,1595261.9199999997,19286862.420000024,14923914.440000031,259673492.8999998,1595261.9199999997,1222872.644000003,5330012.491999991,3480269.774999996,7022093.412999993,984820.9467,29034801.70000002,14822197.759999985,693182.3657000003,8501928.325000003,4248740.928999997,15283586.079999994,481336.2707999999,321681.5044,1991064.9690000003,3073851.904999992,77398850.19000004,3787511.7559999996,1394442.776000001
1092_9_FBG,34022.5,5653831.955999989,22223387.980000008,122586492.79999962,8279754.672999983,6978465.134000003,4859527.664999999,7258382.4189999895,4718745.869999999,2499506.646000001,8385674.757000004,27227790.979999904,14448736.949999994,693924.4466000019,904375.2550999989,1378014.5069999995,12971689.209999997,18188666.31999998,14045129.999999963,658804.3293000024,10716253.260000007,4307694.120000005,5667614.713999988,966734.1820999992,2337882.727000007,1238602.079,868075.9388999994,2410860.0110000004,1892567.7250000006,1990297.0640000047,11398147.159999998,135644251.7000001,7736405.747000005,1720379.455999999,4720060.427000001,16057320.560000006,425524.4563999997,410580.5098000001,2133657.0450000004,12030731.01999998,297661172.00000006,3217901.851999997,32330201.049999986,1549778.253999999,953533.0219000003,1290450.8820000044,3327445.820000008,14763775.349999994,94940067.11999997,2135183.186000002,19482922.90000004,30759546.059999965,245121375.29999974,2135183.186000002,3934027.942000004,5698910.761999998,3901252.8489999888,8267091.128999992,1040263.1019999968,25862916.470000014,21476527.39999996,742265.6619999993,12161615.849999985,7559484.321999989,10775460.740000011,612146.8330999999,323808.31120000005,1713859.4979999983,3036524.3180000004,62050237.090000056,3190197.9399999985,963402.6492999982
1092_10_FBG,34022.5,8527651.34899999,24829713.320000026,5814342.725999993,9010806.154999996,6671564.537000012,6397542.843000002,7065136.3119999925,4537266.072000004,3116573.2239999957,12130284.13,33987495.15999995,14446282.900000015,754988.2461000008,482593.3993000006,1815003.722999999,14789030.429999951,18346302.629999984,17164873.84000002,1033375.0810000005,12795990.659999968,5830871.863999999,7803319.565000022,1081175.34,2925277.38199999,2008114.2510000067,892600.9878999996,3669988.054999997,3361990.4789999956,2387112.8790000076,12046718.330000004,158124896.49999946,7256436.571,1951849.3900000066,5293083.076999994,29428301.300000012,285025.7102000003,352050.3373999995,2300527.777000002,12446608.499999994,255904816.3999992,16179825.460000003,31833211.889999937,1835113.2560000056,922951.8695999997,448289.3574999997,3640065.5999999978,21080616.480000008,90907791.69000009,2869464.4279999975,24035648.33000001,24803342.52999993,240982275.5,2869464.4279999975,3639246.658000003,6236186.307999995,4349184.305000004,2221009.1659999946,1413861.8410000016,30300477.489999987,18947969.370000016,1162241.3880000033,11218210.230000038,6217226.598999993,13861166.42999999,611365.5077000004,405767.3431999999,1922233.0509999988,2888990.240000002,84565689.62000023,4814439.619000004,1281280.8800000001
1102_8_FBG,46565.0,13295139.149999995,33999807.19000003,594144.1235000003,8793372.450000003,5514616.50500002,4098660.3869999954,5857032.122000001,3870467.1249999963,2657807.277999998,15731696.02,17365811.010000005,14727928.409999996,1591330.1430000009,906598.0507999993,1702843.5530000057,12456657.849999985,11970505.52000001,14348827.91,1920327.4649999996,13626490.270000018,3384091.6539999982,4604751.595000002,1060709.592999999,2012789.7790000008,1905947.3500000017,617424.2714000007,4270318.976000004,3614193.8320000023,1981570.7709999976,8783071.395999998,186425334.40000018,6732729.476000001,1816262.323999998,1693375.1800000018,27241488.000000026,608339.0879000016,487374.2199999999,2118072.1960000005,11825573.309999995,284587808.5000008,4176182.5819999976,30149098.069999997,1738639.3450000014,1031863.530000001,64828.806580000055,9177408.108,19911211.65,108496144.50000003,1993362.5879999988,36953808.15000003,31885698.36999997,221539579.00000015,1993362.5879999988,3939501.046000002,4263595.452999999,4476805.99600001,2094991.4180000017,1990488.4440000025,70970935.8699998,20839869.119999997,1599829.5200000023,10675808.079999985,4839249.871000006,16133770.61000001,604692.0127999993,647878.5316000005,1582806.846999999,2432837.834000001,67410327.16999999,3906620.4719999884,626093.6846000018
1102_9_FBG,46565.0,7605684.7500000065,26254317.420000013,30472182.369999994,8384954.575000001,6576389.347999997,2848087.3899999997,6913637.562000003,3784004.0780000007,2525490.5920000025,10405888.000000028,10718777.019999968,11467006.650000002,650473.0404,839981.050499999,1174172.5650000004,9789766.047000015,12337158.850000035,10378059.82000001,1399945.7499999988,12005873.659999989,2805463.4590000063,3840296.249000001,941883.1221999995,1391739.6709999992,1200772.3200000003,490888.2079999983,2687056.737,2925433.907000002,1316966.697000004,10071200.48999999,130481345.30000035,5166936.251000003,1626464.1740000008,4056197.401,17312193.529999986,525375.1746999994,499118.29500000004,938899.4567000004,11613248.140000038,228903075.4999998,3575751.5599999875,24272116.970000073,1445729.3359999992,672505.3532999996,626343.0974999995,5239037.574999999,16986352.450000003,87889448.63000017,2496158.5739999977,20879767.16999998,25928624.35,179702085.59999993,2496158.5739999977,3717832.124999998,3560338.8459999976,5893606.355000021,4512785.835999991,1197409.0050000031,37774826.26000001,17421821.629999977,971331.0122000003,8196794.943999997,4926510.755000009,12073494.57000001,541312.3019999994,366474.0606000004,1239684.0779999965,2544254.118999994,46526685.10000004,2377770.8990000077,754431.2530999992
1102_10_FBG,46565.0,18341687.289999988,27136967.05999996,93046706.78000005,7145863.643999997,6979131.982000001,4025683.9620000036,8256026.628999991,3460824.405999999,3106666.786999998,11028803.540000008,17421343.25000001,18252529.549999993,1117756.3459999997,1013442.8659999999,1860181.5680000046,14488887.909999996,11899347.5,13329582.569999997,2181760.5080000013,14716983.170000007,2729015.5449999976,2860018.027000001,1131557.9479999964,2288142.267000004,1539596.416000002,470166.6048999998,2741806.352000003,3468434.5859999983,1628803.5160000017,9217633.073000003,172608541.6,7281193.492999991,1401972.8140000007,2708656.2809999986,19644593.050000034,830915.3711000002,794860.6032999997,1968649.319000005,14695335.270000018,244113205.1999998,5600722.677000004,30114561.970000006,1962857.5830000034,927717.4045999997,1617641.6939999976,6493753.55,18504478.49000003,100500389.49999993,2717575.0200000005,30957740.02,35127854.20000004,203800893.80000025,2717575.0200000005,3996092.436000002,4140010.9149999996,5850080.396000009,2587515.1610000003,1169240.1619999988,49469152.26999986,20801954.500000015,947404.993000003,11250418.579999994,5330805.426999994,22014150.779999983,501719.5530000013,314292.0429000001,1364990.0139999997,3463843.8920000037,45769471.98000001,4226923.977000002,774198.0808999991
1076_8_FBG,60245.0,12083299.950000012,22872281.69999998,7280522.291999992,14613085.970000017,6761108.555999998,5283029.847000006,6860685.894000001,5208036.890999984,3106457.892,10058824.45000001,21734611.03,18310286.330000002,1539297.2159999998,5617890.559000004,1565853.3879999989,18440407.380000018,16047625.409999989,16234564.320000026,2517169.651000004,21342499.21000004,4415686.270999996,1877491.1360000053,899515.1447999999,2042611.1749999984,3217308.9079999905,1121178.3149999995,3560592.8429999948,2308847.799000008,1610617.1089999997,14992778.039999997,189663472.10000032,10081346.19000001,3033627.8090000018,8905699.812999984,15136014.959999971,1188758.1329999997,892050.8634000005,3205095.671000006,9281483.24400003,281972077.10000026,3034879.148000008,56246412.49000018,1884716.177000001,1675834.2049999984,252920.8279999998,9747351.807999993,17766747.259999983,94422615.68000007,3534149.892999998,37276958.34000012,27475911.07000007,146425621.80000007,3534149.892999998,5950366.4149999935,5361399.995999996,5648666.522999981,4854865.0330000045,1193405.231,84224457.99999972,25398563.239999987,956789.9540999965,20747003.17000002,4863866.132000016,16787010.369999982,1012171.8509999996,762270.0328000027,1800687.2589999984,6165511.707999995,31392587.19000001,418538.2378000005,377509.9971999996
